"","Site","Year","Fecha2","Hora","Bosque","Periodo","Transecto","Planta","Pollinator_id","Pollinator_genus","Pollinator_family","Order"
"19","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"20","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Cistus salvifolius","Tropinota squalida","Tropinota","Scarabaeidae","Coleoptera"
"21","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"22","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"23","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"24","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"25","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"26","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"27","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"28","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"29","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"30","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"31","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"32","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"33","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Glaucopsyche alexis","Glaucopsyche","Lepidoptera","Lepidoptera"
"34","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"35","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"36","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"37","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"38","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"39","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"40","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"41","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"42","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"43","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"44","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"45","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"46","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"47","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"48","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"49","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"50","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"51","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"52","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Anthophora sp","Anthophora","Apidae","Hymenoptera"
"53","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"54","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"55","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"56","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"57","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"58","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"59","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"60","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"61","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"62","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"63","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"64","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"65","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"66","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"67","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"68","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"69","Doñana",2020,"2020-02-19","13:05","Pinar Puebla",1,2,"Rosmarinus officinalis","Chalicodoma sicula","Chalicodoma","Megachilidae","Hymenoptera"
"70","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Lavandula stoechas","Xylocopa cantabrita","Xylocopa","Apidae","Hymenoptera"
"71","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"72","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"73","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"74","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Anthophora sp","Anthophora","Apidae","Hymenoptera"
"75","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Xylocopa cantabrita","Xylocopa","Apidae","Hymenoptera"
"76","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Xylocopa cantabrita","Xylocopa","Apidae","Hymenoptera"
"77","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"78","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"79","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"80","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"81","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"82","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"83","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"84","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"85","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"86","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"87","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"88","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"89","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Xylocopa cantabrita","Xylocopa","Apidae","Hymenoptera"
"90","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Zerynthia rumina","Zerynthia","Lepidoptera","Lepidoptera"
"91","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"92","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"93","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"94","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"95","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"96","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"97","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"98","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"99","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"100","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"101","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"102","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"103","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"104","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"105","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Zerynthia rumina","Zerynthia","Lepidoptera","Lepidoptera"
"106","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Xylocopa cantabrita","Xylocopa","Apidae","Hymenoptera"
"107","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"108","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"109","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"110","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"111","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"112","Doñana",2020,"2020-02-19","16:30","Pinar Puebla",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"113","Doñana",2020,"2020-02-20","10:05","Pinar Hinojos",1,1,"Halimium commutatum","Apis mellifera","Apis","Apidae","Hymenoptera"
"114","Doñana",2020,"2020-02-20","10:05","Pinar Hinojos",1,1,"Halimium commutatum","Platycheirus sp","Platycheirus","Syrphidae","Diptera"
"115","Doñana",2020,"2020-02-20","10:05","Pinar Hinojos",1,1,"Halimium commutatum","Syrphidae","Syrphidae","Syrphidae","Diptera"
"116","Doñana",2020,"2020-02-20","10:05","Pinar Hinojos",1,1,"Halimium commutatum","Platycheirus sp","Platycheirus","Syrphidae","Diptera"
"117","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Diptera","mosca","Diptera","Diptera"
"118","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"119","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"120","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera"
"121","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"122","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera"
"123","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus sp","Platycheirus","Syrphidae","Diptera"
"124","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Syrphidae","Syrphidae","Syrphidae","Diptera"
"125","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"126","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"127","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"128","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"129","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"130","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"131","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera"
"132","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera"
"133","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera"
"134","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera"
"135","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"136","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"137","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"138","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"139","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"140","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"141","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Apis mellifera","Apis","Apidae","Hymenoptera"
"142","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"143","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"144","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"145","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Platycheirus albimanus","Platycheirus","Syrphidae","Diptera"
"146","Doñana",2020,"2020-02-20","12:45","Pinar Hinojos",1,2,"Halimium commutatum","Dilophus sp","Dilophus","Bibionidae","Diptera"
"147","Doñana",2020,"2020-02-20","16:30","Pinar Hinojos",1,3,"Romulea bulbocodium","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera"
"148","Doñana",2020,"2020-02-20","16:30","Pinar Hinojos",1,3,"Romulea bulbocodium","Lepidoptera","polilla","Lepidoptera","Lepidoptera"
"149","Doñana",2020,"2020-02-20","16:30","Pinar Hinojos",1,3,"Halimium commutatum","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera"
"150","Doñana",2020,"2020-02-21","11:30","Villamanrique Chaparral",1,1,"Asphodelus fistulosus","Apis mellifera","Apis","Apidae","Hymenoptera"
"151","Doñana",2020,"2020-02-21","11:30","Villamanrique Chaparral",1,1,"Asphodelus fistulosus","Apis mellifera","Apis","Apidae","Hymenoptera"
"152","Doñana",2020,"2020-02-21","11:30","Villamanrique Chaparral",1,1,"Asphodelus fistulosus","Xylocopa cantabrita","Xylocopa","Apidae","Hymenoptera"
"153","Doñana",2020,"2020-02-21","11:30","Villamanrique Chaparral",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"154","Doñana",2020,"2020-02-21","11:30","Villamanrique Chaparral",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"155","Doñana",2020,"2020-02-21","11:30","Villamanrique Chaparral",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"156","Doñana",2020,"2020-02-21","11:30","Villamanrique Chaparral",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"157","Doñana",2020,"2020-02-21","11:30","Villamanrique Chaparral",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"158","Doñana",2020,"2020-02-21","11:30","Villamanrique Chaparral",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"159","Doñana",2020,"2020-02-21","14:00","Villamanrique Chaparral",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"160","Doñana",2020,"2020-02-21","14:00","Villamanrique Chaparral",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"161","Doñana",2020,"2020-02-21","14:00","Villamanrique Chaparral",1,2,"Narcissus papyraceus","Xylocopa cantabrita","Xylocopa","Apidae","Hymenoptera"
"162","Doñana",2020,"2020-02-21","14:00","Villamanrique Chaparral",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"163","Doñana",2020,"2020-02-21","14:00","Villamanrique Chaparral",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"164","Doñana",2020,"2020-02-21","14:00","Villamanrique Chaparral",1,2,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"165","Doñana",2020,"2020-02-21","14:00","Villamanrique Chaparral",1,2,"Rosmarinus officinalis","Pieris rapae","Pieris","Lepidoptera","Lepidoptera"
"166","Doñana",2020,"2020-02-21","14:00","Villamanrique Chaparral",1,2,"Asphodelus fistulosus","Anthophora sp","Anthophora","Apidae","Hymenoptera"
"167","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"168","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"169","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"170","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"171","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"172","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"173","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"174","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Diptera","mosca","Diptera","Diptera"
"175","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Anthophora retusa","Anthophora","Apidae","Hymenoptera"
"176","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Zerynthia rumina","Zerynthia","Lepidoptera","Lepidoptera"
"177","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Tropinota squalida","Tropinota","Scarabaeidae","Coleoptera"
"178","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Asphodelus fistulosus","Tropinota squalida","Tropinota","Scarabaeidae","Coleoptera"
"179","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"180","Doñana",2020,"2020-02-21","16:15","Villamanrique Chaparral",1,3,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
